Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
3/20/17,BAH,37.59,37.66,36.26,36.37,-1.25,-3.32%,1002080
3/13/17,BAH,36.72,37.69,36.72,37.62,0.85,2.31%,1121240
3/6/17,BAH,35.76,36.84,35.5,36.77,0.72,2.00%,1125880
2/27/17,BAH,35.89,36.75,35.6,36.05,0.13,0.36%,1226860
2/20/17,BAH,34.63,36.04,34.5,35.92,1.21,3.49%,1440900
2/13/17,BAH,34.18,34.93,33.88,34.71,0.61,1.79%,966900
2/6/17,BAH,34.54,34.76,33.83,34.1,-0.41,-1.19%,1266180
1/30/17,BAH,35.54,35.54,32.75,34.51,-1.75,-4.83%,3279800
1/23/17,BAH,35.55,36.34,35.24,36.26,0.62,1.74%,1265640
1/16/17,BAH,36.04,36.28,35.46,35.64,-0.69,-1.90%,584675
1/9/17,BAH,36.27,36.56,35.8,36.33,0.12,0.33%,811340
1/2/17,BAH,36.19,36.4,35.28,36.21,0.14,0.39%,1480200
