Time,Symbol,Open,High,Low,Last,Change,%Chg,Volume
11/8/21,IP,49.14,49.595,48.84,49.34,0.47,0.96%,3276040
11/1/21,IP,48.86,50.2,48.52,48.87,-0.8,-1.61%,3323520
10/25/21,IP,53.13,53.51,49.51,49.67,-3.36,-6.34%,3384020
10/18/21,IP,52.98,53.96,51.73,53.03,-0.25,-0.47%,2854460
10/11/21,IP,54.75,56.569,52.58,53.28,-1.11,-2.04%,3352920
10/4/21,IP,53.01,54.82,53.01,54.39,1.13,2.12%,2217060
9/27/21,IP,56.8,57.86,52.44,53.26,-3.71,-6.51%,2185140
9/20/21,IP,55.51,57.7,54.8,56.97,0.37,0.65%,2018260
9/13/21,IP,58.77,59.13,56.32,56.6,-1.75,-3.00%,2598900
9/6/21,IP,59.47,59.629,58.21,58.35,-1.57,-2.62%,2092625
8/30/21,IP,60.31,60.3892,59.28,59.92,-0.21,-0.35%,1793340
8/23/21,IP,59.06,60.325,58.16,60.13,1.37,2.33%,1479160
8/16/21,IP,58.94,59.69,57.65,58.76,-0.46,-0.78%,1778500
8/9/21,IP,57.89,60.33,57.7,59.22,1.33,2.30%,2672340
8/2/21,IP,57.96,59.12,57.2,57.89,0.13,0.23%,1908180
7/26/21,IP,58.1,59.21,56.75,57.76,-0.32,-0.55%,2724560
7/19/21,IP,58.2,59.15,57.12,58.08,-1.05,-1.78%,2155000
7/12/21,IP,61.76,62.48,59.04,59.13,-3.11,-5.00%,2376780
7/5/21,IP,61.22,62.7,59.78,62.24,0.92,1.50%,2234050
6/28/21,IP,61.09,62,60.39,61.32,0.64,1.05%,1861540
6/21/21,IP,59.85,61.51,59.75,60.68,1.45,2.45%,1840200
6/14/21,IP,63.76,63.95,59.03,59.23,-4.42,-6.94%,3227700
6/7/21,IP,64.89,64.99,62.77,63.65,-1,-1.55%,2135080
5/31/21,IP,64.14,65.27,62.99,64.65,1.55,2.46%,2228950
5/24/21,IP,64.14,64.89,62.45,63.1,-0.43,-0.68%,4093160
5/17/21,IP,62.52,64.62,61.74,63.53,0.88,1.40%,3313520
5/10/21,IP,62.2,63.12,60.56,62.65,1.01,1.64%,2487820
5/3/21,IP,58.41,61.79,58.3,61.64,3.64,6.28%,2025080
4/26/21,IP,56.96,58.95,56.065,58,1.22,2.15%,2767600
4/19/21,IP,57.59,57.67,55.77,56.78,-0.59,-1.03%,2106580
4/12/21,IP,55.05,57.5829,54.64,57.37,2.43,4.42%,2556180
4/5/21,IP,54.95,55.76,53.9478,54.94,0.65,1.20%,2171640
3/29/21,IP,55,55.5,53.33,54.29,-0.82,-1.49%,2630550
3/22/21,IP,52.96,55.17,51.23,55.11,1.53,2.86%,3001420
3/15/21,IP,54.01,55.07,52.21,53.58,-0.44,-0.81%,4230740
3/8/21,IP,53.96,56.98,53.64,54.02,-0.13,-0.24%,4148920
3/1/21,IP,50.3,54.33,50.16,54.15,4.5,9.06%,3767420
2/22/21,IP,48.93,51.48,48.5,49.65,0.7,1.43%,2890640
2/15/21,IP,49.38,49.5557,47.78,48.95,-0.23,-0.47%,2730625
2/8/21,IP,47.4,49.62,46.99,49.18,2.15,4.57%,2870140
2/1/21,IP,50.94,51.1699,46.48,47.03,-3.28,-6.52%,4498520
1/25/21,IP,52,52.97,48.92,50.31,-1.32,-2.56%,3584680
1/18/21,IP,50.84,52.18,50.32,51.63,1.38,2.75%,2720650
1/11/21,IP,50.9,52.93,48.88,50.25,-1.23,-2.39%,2732220
1/4/21,IP,49.64,53.39,48.135,51.48,1.76,3.54%,2606480
12/28/20,IP,50.01,50.1147,48.81,49.72,-0.04,-0.08%,1252200
12/21/20,IP,49.13,49.985,48.33,49.76,-0.22,-0.44%,2099875
12/14/20,IP,49.33,50.12,48,49.98,1.35,2.78%,2926420
12/7/20,IP,48.91,49.77,47.95,48.63,-0.24,-0.49%,2375760
11/30/20,IP,50.52,50.6204,47.89,48.87,-1.82,-3.59%,3253840
11/23/20,IP,50.13,51.99,49.8,50.69,1.26,2.55%,2230350
11/16/20,IP,49.42,50.61,48.51,49.43,1.54,3.22%,3899860
11/9/20,IP,48.96,50.33,46.4,47.89,1.4,3.01%,3045840
11/2/20,IP,44.54,47.52,44.05,46.49,2.74,6.26%,2506420
10/26/20,IP,45.69,46.0548,42.4803,43.75,-2.65,-5.71%,2851900
10/19/20,IP,46.77,47.31,46.05,46.4,-0.14,-0.30%,2429200
10/12/20,IP,43.94,46.81,43.36,46.54,3.87,9.07%,3767660
10/5/20,IP,41.05,44.2,40.63,42.67,2.19,5.41%,2923980
9/28/20,IP,41.51,41.76,39.1501,40.48,-0.68,-1.65%,2839340
9/21/20,IP,41.11,41.51,38.38,41.16,-0.89,-2.12%,3184460
9/14/20,IP,39.37,43.1,39.27,42.05,3.13,8.04%,4391600
9/7/20,IP,38.88,39.14,37.265,38.92,-0.11,-0.28%,3094450
8/31/20,IP,36.92,39.54,35.93,39.03,2.1,5.69%,3888140
8/24/20,IP,35.76,37.53,35.71,36.93,1.75,4.97%,1987620
8/17/20,IP,37.29,37.29,34.81,35.18,-2.09,-5.61%,1884940
8/10/20,IP,35.67,38.33,35.535,37.27,1.78,5.02%,2938060
8/3/20,IP,35.22,36.09,33.92,35.49,0.7,2.01%,3415560
7/27/20,IP,36.26,37.64,34.35,34.79,-1.53,-4.21%,3116340
7/20/20,IP,36.64,37.07,36.12,36.32,-0.6,-1.63%,1657560
7/13/20,IP,34.6,37.675,34.25,36.92,2.38,6.89%,2927980
7/6/20,IP,36.22,36.48,32.94,34.54,-0.81,-2.29%,2727560
6/29/20,IP,34.31,35.8,34.23,35.35,1.55,4.59%,2369425
6/22/20,IP,34.6,35.16,32.59,33.8,-1.06,-3.04%,2809200
6/15/20,IP,33.72,36.81,33.39,34.86,-0.06,-0.17%,3958140
6/8/20,IP,39.2,39.8,33.615,34.92,-4.11,-10.53%,2523320
6/1/20,IP,34.07,40.24,34.039,39.03,4.98,14.63%,2782200
5/25/20,IP,32.98,36.14,32.71,34.05,1.41,4.32%,3621425
5/18/20,IP,32.28,33.65,31.7,32.64,1.59,5.12%,2574660
5/11/20,IP,33.71,33.81,29.76,31.05,-3.3,-9.61%,2531440
5/4/20,IP,33.5,34.39,32.14,34.35,0.44,1.30%,2864780
